index,value
720146,59.5
720147,59.5
720148,59.5
720149,59.5
720150,59.5
720152,59.5
720153,59.5
720154,59.5
720155,59.5
720156,59.5
720157,59.5
720158,59.5
720159,59.5
720160,59.5
720161,59.5
720163,59.5
720165,59.5
720166,59.5
720167,59.5
720168,59.5
720169,59.5
720170,59.5
720171,59.5
720172,59.5
720173,59.5
720174,59.5
720175,59.5
720176,59.5
720177,59.5
720178,59.5
720179,59.5
720180,59.5
720181,59.5
720182,59.5
720183,59.5
720184,59.5
720185,59.5
720186,59.5
720187,59.5
720188,59.5
720189,59.5
720190,59.5
720191,59.5
720192,59.5
720193,59.5
720194,59.5
721102,59.5
721110,59.5
721111,59.5
721117,59.5
721118,59.5
721119,59.5
721121,59.5
721122,59.5
721123,59.5
721124,59.5
721125,59.5
721126,59.5
721127,59.5
721128,59.5
721134,59.5
721135,59.5
721136,59.5
721137,59.5
721138,59.5
721139,59.5
721143,59.5
721145,59.5
721147,59.5
721149,59.5
721153,59.5
721154,59.5
721156,59.5
721158,59.5
721160,59.5
721161,59.5
721162,59.5
721165,59.5
721166,59.5
721169,59.5
721170,59.5
721174,59.5
721178,59.5
721179,59.5
721180,59.5
721181,59.5
721182,59.5
721183,59.5
721184,59.5
721185,59.5
721186,59.5
721187,59.5
721188,59.5
721189,59.5
721192,59.5
721194,59.5
722102,59.5
722117,59.5
722119,59.5
722121,59.5
722123,59.5
722126,59.5
722135,59.5
722137,59.5
722138,59.5
722139,59.5
722147,59.5
722162,59.5
722165,59.5
722178,59.5
722180,59.5
722183,59.5
722187,59.5
722188,59.5
722192,59.5
723121,59.5
723123,59.5
723126,59.5
723135,59.5
723138,59.5
723139,59.5
723165,59.5
723180,59.5
723183,59.5
723188,59.5
724123,59.5
724138,59.5
724180,59.5
725180,59.5
725183,59.5
725184,59.5
725185,59.5
725186,59.5
725187,59.5
725188,59.5
725189,59.5
725190,59.5
725191,59.5
725192,59.5
725193,59.5
725194,59.5
725195,59.5
725196,59.5
725197,59.5
730501,94.89999389648438
730502,94.89999389648438
730503,94.89999389648438
730504,94.89999389648438
730505,94.89999389648438
730506,94.89999389648438
730507,94.89999389648438
730508,94.89999389648438
730509,94.89999389648438
730510,94.89999389648438
730511,94.89999389648438
730512,94.89999389648438
730513,94.89999389648438
730514,94.89999389648438
730515,94.89999389648438
730516,94.89999389648438
730517,94.89999389648438
730518,94.89999389648438
730519,94.89999389648438
731901,197.0
731902,197.0
731903,197.0
731904,185.29998779296875
731905,207.29998779296875
731906,207.29998779296875
731908,207.29998779296875
731909,207.29998779296875
731911,185.29998779296875
736001,164.29998779296875
736002,164.29998779296875
736003,164.29998779296875
736004,137.89999389648438
736005,137.89999389648438
736006,144.8000030517578
736007,137.89999389648438
736008,164.29998779296875
736009,180.60000610351562
736010,164.29998779296875
736011,164.29998779296875
736012,164.29998779296875
736013,197.0
736014,164.29998779296875
736015,164.29998779296875
736016,164.29998779296875
736017,164.29998779296875
736018,164.29998779296875
736019,164.29998779296875
736021,164.29998779296875
736022,164.29998779296875
737001,101.89999389648438
737002,101.89999389648438
737003,101.89999389648438
737004,101.89999389648438
737005,101.89999389648438
737006,101.89999389648438
737007,101.89999389648438
737008,101.89999389648438
737009,101.89999389648438
737010,101.89999389648438
737011,101.89999389648438
737012,101.89999389648438
737013,101.89999389648438
737014,101.89999389648438
737015,101.89999389648438
737016,101.89999389648438
737017,101.89999389648438
737018,101.89999389648438
737019,101.89999389648438
737020,101.89999389648438
737022,101.89999389648438
737023,101.89999389648438
737024,101.89999389648438
737025,101.89999389648438
737026,101.89999389648438
737027,101.89999389648438
737028,101.89999389648438
737029,101.89999389648438
737030,101.89999389648438
737031,101.89999389648438
737032,101.89999389648438
737033,101.89999389648438
737034,101.89999389648438
737035,101.89999389648438
737036,101.89999389648438
737037,101.89999389648438
737038,101.89999389648438
737039,101.89999389648438
737040,101.89999389648438
737041,101.89999389648438
737042,101.89999389648438
737043,101.89999389648438
737044,101.89999389648438
737046,101.89999389648438
737047,101.89999389648438
737048,101.89999389648438
737049,101.89999389648438
737050,101.89999389648438
737051,101.89999389648438
737052,101.89999389648438
737053,101.89999389648438
737054,101.89999389648438
737055,101.89999389648438
